start_zone,vendor_id,trip_time
211,HV0003,1151.4355559051737
261,HV0003,1389.639551514517
248,HV0003,933.7248928016103
176,HV0003,1162.065850879518
78,HV0003,958.8623265997762
31,HV0003,1195.5391219115807
249,HV0003,1096.3343776009187
214,HV0003,1086.566687342281
30,HV0003,1136.865192652672
79,HV0003,1084.361105202421
125,HV0003,1181.179301334251
23,HV0003,996.1340766419711
76,HV0003,1039.2457003829252
180,HV0003,1004.5746613844725
11,HV0003,1038.164903659582
175,HV0003,1080.0447056671915
153,HV0003,914.2480926655393
112,HV0003,1139.194969984005
234,HV0003,1162.388363338927
97,HV0003,1157.1762825583933
243,HV0003,1077.3924236613939
216,HV0003,937.1274939286037
38,HV0003,1118.4175335702084
20,HV0003,986.5223448442729
66,HV0003,1192.18888221806
189,HV0003,1188.2087534789036
160,HV0003,1038.4311309416262
60,HV0003,971.0431136509119
101,HV0003,1180.8201105672947
194,HV0003,1401.17627546251
40,HV0003,1186.0719264195484
227,HV0003,1132.4934653778835
54,HV0003,1154.1418144015195
230,HV0003,1349.3184295175008
77,HV0003,1074.4604202621545
46,HV0003,1374.8489606796822
14,HV0003,1109.891128996796
1,HV0003,1066.3798549388407
264,HV0003,1279.1337868480725
100,HV0003,1360.5949775382358
151,HV0003,1181.779520267283
41,HV0003,1093.4585407145687
105,HV0003,1552.7453741496597
99,HV0003,907.1560750980759
257,HV0003,1189.3266700732256
130,HV0003,1002.4082426782238
241,HV0003,991.2279309129514
212,HV0003,919.900711073161
259,HV0003,1003.5937469337505
237,HV0003,1190.6904685020904
15,HV0003,1093.9547107971011
235,HV0003,953.5041336572469
208,HV0003,1024.1157231688244
170,HV0003,1154.5307139964295
53,HV0003,1137.055641742997
169,HV0003,933.7693029102347
232,HV0003,1128.8843932085617
167,HV0003,1014.5431814022085
140,HV0003,1237.8176734633487
196,HV0003,1048.866941678735
96,HV0003,1115.5051396401682
70,HV0003,1038.5507100071122
236,HV0003,1192.5030269602394
262,HV0003,1119.5074005752365
52,HV0003,1198.6121651713986
172,HV0003,1077.1047548166882
155,HV0003,1138.618965143717
134,HV0003,998.379685265279
49,HV0003,1148.3645172160134
127,HV0003,1013.3662018089225
168,HV0003,1039.2108412673026
35,HV0003,1059.8665968610799
121,HV0003,1082.4281074004316
3,HV0003,969.6856061683386
132,HV0003,2314.04983190185
116,HV0003,1074.8418948789895
254,HV0003,1007.9087159153165
4,HV0003,1104.781138259755
222,HV0003,1052.6896294205844
139,HV0003,1017.7569708397914
95,HV0003,1061.3200933781904
252,HV0003,1071.3951732056955
8,HV0004,1472.5396306471307
18,HV0004,1540.7816990696147
175,HV0004,2077.2382151693096
48,HV0004,1179.7980527350396
226,HV0004,1408.9927245720855
128,HV0004,1417.3653793169012
230,HV0004,1262.392103347665
11,HV0004,1730.4350022100589
190,HV0004,1593.3710173388502
146,HV0004,1413.6948184438668
164,HV0004,1186.024249869492
157,HV0004,1335.4803537722382
114,HV0004,1165.7172612807317
94,HV0004,1434.828154877612
26,HV0004,1835.878563259122
79,HV0004,1152.1837136997724
91,HV0004,1586.7936564430825
207,HV0004,1241.8865243568691
228,HV0004,1605.0634874913703
50,HV0004,1167.5960860794557
263,HV0004,1136.6190701050236
12,HV0004,1353.4434450094368
182,HV0004,1609.4651493971483
131,HV0004,1697.7358363375308
22,HV0004,1893.2218376342241
165,HV0004,1836.031847448688
240,HV0004,1598.3367873920458
255,HV0004,1388.2831345480777
201,HV0004,2398.1610807083343
74,HV0004,1205.0497528492344
229,HV0004,1121.7103217292001
251,HV0004,1912.8158309213354
90,HV0004,1168.6735796742148
217,HV0004,1407.2980201141545
215,HV0004,1597.8462642891595
171,HV0004,1668.7861118485905
13,HV0004,1542.1497034250863
138,HV0004,1834.6963563968366
227,HV0004,1782.353959621571
73,HV0004,2025.9088422611053
108,HV0004,2040.2128477579304
19,HV0004,1606.849165381885
212,HV0004,1377.0918575277635
65,HV0004,1306.6033020300506
153,HV0004,1314.9421377903357
134,HV0004,1480.8523456086527
126,HV0004,1405.327337333656
130,HV0004,1474.2835618165525
23,HV0004,2253.3155179855494
1,HV0004,2684.59745679757
158,HV0004,1191.8814586971093
149,HV0004,1953.2579465502358
262,HV0004,1093.3014952554397
63,HV0004,1605.3914754977836
241,HV0004,1540.2911493244571
236,HV0004,1107.121127460678
254,HV0004,1606.8056937919614
69,HV0004,1398.8408144286059
210,HV0004,1846.08152148097
53,HV0004,1629.1547494722208
140,HV0004,1152.839648021267
113,HV0004,1166.4822283204526
163,HV0004,1152.809697300955
39,HV0004,1569.5313018194504
119,HV0004,1256.2753257876645
6,HV0004,1856.9200062635664
188,HV0004,1635.5451220056523
118,HV0004,2092.093110712817
45,HV0004,1275.2561325253382
62,HV0004,1507.547956057433
225,HV0004,1558.8502330187125
259,HV0004,1659.1072532631806
193,HV0004,1502.527377270093
161,HV0004,1144.6022421184946
151,HV0004,1122.0651752403853
186,HV0004,1255.569264622362
52,HV0004,1379.427702498189
78,HV0004,1397.3328630435171
41,HV0004,1208.7705492826008
200,HV0004,1651.9977995328943
43,HV0004,1040.5862521213699
32,HV0004,1734.5517585081402
192,HV0004,1418.3213759774785
211,HV0004,1212.3400815113773
143,HV0004,1108.5965213337308
174,HV0004,1574.549923689956
122,HV0004,1625.4057517900437
96,HV0004,1628.4183351370853
68,HV0004,1234.03592546547
7,HV0004,1421.5712146420185
29,HV0004,2105.5567369388473
80,HV0004,1379.6825162977675
135,HV0004,1607.2155631683318
16,HV0004,2108.30146915057
231,HV0004,1274.014263563905
55,HV0004,2081.2021162701753
21,HV0004,1922.8340627273953
64,HV0004,1887.5058225712878
75,HV0004,1192.6166152106628
173,HV0004,1494.809465364449
203,HV0004,1644.9134096958562
172,HV0004,2342.4402271483305
238,HV0004,1139.5939492162936
85,HV0004,1605.333043892837
139,HV0004,1672.3859238823181
57,HV0004,1492.747092602738
58,HV0004,1610.8936504355859
239,HV0004,1114.5818034427966
216,HV0004,1492.8562807216101
88,HV0004,1398.8727002348533
34,HV0004,1397.3562308981052
70,HV0004,1456.2141842803433
189,HV0004,1441.828255489525
235,HV0004,1307.774604799698
245,HV0004,2188.589758885243
49,HV0004,1423.5800566445387
36,HV0004,1542.9765368670155
98,HV0004,1830.077529246031
194,HV0004,1222.478638854952
145,HV0004,1199.711092555281
132,HV0004,2457.0703341704498
222,HV0004,2021.5121805340939
136,HV0004,1386.4554268315485
86,HV0004,2428.0433065115385
243,HV0004,1504.4652796510406
95,HV0004,1595.429233524384
51,HV0004,1605.027091680731
125,HV0004,1225.160811650056
223,HV0004,1487.9148361267817
249,HV0004,1162.743056164798
156,HV0004,2227.7302168308934
213,HV0004,1469.4747369482557
4,HV0004,1184.1838564192763
237,HV0004,1073.0684522092197
15,HV0004,1997.093007786149
219,HV0004,1758.6496508446269
154,HV0004,2247.829567852782
214,HV0004,2131.1973523470315
77,HV0004,1563.5849511300216
56,HV0004,1504.1244361538552
84,HV0004,3271.7656250000005
221,HV0004,2206.2090941963643
184,HV0004,1524.748903078403
30,HV0004,1110.409090909091
44,HV0004,2371.5
27,HV0004,2646.2909813537476
84,HV0005,1176.3284076477078
205,HV0005,1051.8224041478093
167,HV0005,1081.3017624233494
47,HV0005,1011.6614312397903
123,HV0005,1076.2586437074979
11,HV0005,1114.371314506925
89,HV0005,1208.7304893005555
99,HV0005,981.6289717200643
55,HV0005,1344.0684417793032
91,HV0005,1120.003156788872
66,HV0005,1163.9112652063664
40,HV0005,1168.6742005934173
249,HV0005,1133.252414748191
171,HV0005,1115.011634411905
150,HV0005,1124.9253530324013
204,HV0005,1201.8254825127503
182,HV0005,1093.2348551150412
248,HV0005,979.0765547666081
37,HV0005,1156.9991146097113
28,HV0005,1083.145861015973
49,HV0005,1119.6164948259923
188,HV0005,1184.4752007496247
198,HV0005,1145.1785576098791
239,HV0005,1216.0138219284158
9,HV0005,1094.8467359333822
159,HV0005,1095.246195746165
95,HV0005,1125.1572922898117
173,HV0005,1028.2078592299001
50,HV0005,1189.3225840247424
73,HV0005,1118.15628320993
178,HV0005,1087.810012465956
3,HV0005,1004.3431410111314
57,HV0005,1080.8133033098943
27,HV0005,1864.8635357103271
13,HV0005,1254.2379533585508
257,HV0005,1190.861065002205
22,HV0005,1106.1087827302333
88,HV0005,1379.3337335426813
108,HV0005,1092.021170102923
125,HV0005,1200.720109128602
12,HV0005,1349.166870012861
196,HV0005,1114.8947062789284
32,HV0005,1049.8353361258053
83,HV0005,1023.7225019223082
76,HV0005,1050.5715385697524
81,HV0005,990.1674616628512
252,HV0005,1126.4560358114907
265,HV0005,1221.0562820440127
244,HV0005,1139.1846533656544
226,HV0005,1119.6657726193828
62,HV0005,1143.417734419156
78,HV0005,1017.8331193180711
163,HV0005,1323.0487223237997
230,HV0005,1381.4789544329408
101,HV0005,1192.567699191938
219,HV0005,1027.393707412983
237,HV0005,1253.3510124944135
102,HV0005,1052.1344876580235
109,HV0005,1250.0995257967247
211,HV0005,1171.7349674334741
4,HV0005,1126.8469650813322
161,HV0005,1332.3824988924969
149,HV0005,1075.7499553340172
122,HV0005,1096.4534647058
