month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
7-2023,32.71350452684884,22.594133209668822,4.382427137012726,3902394.0,10394.73,55.76
8-2017,17.688897707294775,14.165273466533858,1.9382200207263853,13677402.0,3702.8,27.45
8-2018,17.707063570252895,14.073007491414957,2.403616557617356,12492386.0,14825.14,82.8
8-2019,25.83024076578709,19.747881733021316,2.203772824469084,9409570.0,55531.81,127.39
8-2020,21.125191025340353,15.204154946183161,2.3892057166049954,1286803.0,5035.01,88.69
8-2021,21.966456941769508,15.10566224784705,2.7362116972609356,3776801.0,13777.99,55.79
8-2022,21.331833200296796,14.514761355123214,2.629079519995818,4293060.0,2572.65,43.06
8-2023,26.439216824504914,17.865065954114613,3.1448359533820964,3740401.0,7856.5,46.72
9-2017,16.919246395544125,13.509748990511051,1.9296719860650688,14466414.0,9191.47,38.9
9-2018,14.931873916428007,11.739995560027728,1.75584882375762,12687535.0,33604.55,71.22
9-2019,17.107061463193638,12.064766137113493,2.211505975072614,10026960.0,40950.27,101.1
9-2020,28.079917004599764,22.004605585624596,0.9990317793938754,1748323.0,3844.2,84.99
9-2021,17.86589473945967,12.004180778003652,2.1402902975484337,3956144.0,18525.36,47.77
9-2022,22.04902957780601,15.182557755050345,2.7304580829266407,4189115.0,3979.56,40.73
9-2023,24.187554991918642,16.26716092623713,2.924437714254526,3619823.0,11550.81,40.83
